date,kind,ticker,detail
2000-12-29,issuer_changed,APA,"run from 2000-12-29 states several CIKs (0000006769, 0001841666); published value is the most stated"
2000-12-29,issuer_changed,CB,"run from 2000-12-29 states several CIKs (0000020171, 0000896159); published value is the most stated"
2000-12-29,issuer_changed,CI,"run from 2000-12-29 states several CIKs (0000701221, 0001739940); published value is the most stated"
2000-12-29,issuer_changed,DIS,"run from 2000-12-29 states several CIKs (0001001039, 0001744489); published value is the most stated"
2000-12-29,issuer_changed,JCI,"run from 2000-12-29 states several CIKs (0000053669, 0000833444); published value is the most stated"
2000-12-29,issuer_changed,MDT,"run from 2000-12-29 states several CIKs (0000064670, 0001613103); published value is the most stated"
2000-12-29,issuer_changed,XRX,"run from 2000-12-29 states several CIKs (0000108772, 0001770450); published value is the most stated"
2004-04-26,issuer_changed,MYL,"run from 2004-04-26 states several CIKs (0000069499, 0001623613); published value is the most stated"
2004-12-31,issuer_changed,LLL,"run from 2004-12-31 states several CIKs (0001039101, 0001056239); published value is the most stated"
2006-06-01,issuer_changed,GOOG,"run from 2006-06-01 states several CIKs (0001288776, 0001652044); published value is the most stated"
2006-06-02,phantom_addition,JNPR,record dated 2006-06-02 matches no transition in the snapshots
2006-06-02,phantom_removal,ABS,record dated 2006-06-02 matches no transition in the snapshots
2007-01-10,phantom_addition,AVB,record dated 2007-01-10 matches no transition in the snapshots
2007-01-10,phantom_removal,SBL,record dated 2007-01-10 matches no transition in the snapshots
2007-05-15,resurrection,CMX,absent from the provider snapshot of 2007-04-16 but back in the crowd snapshots by 2007-05-15 with no record behind the return; the file wins
2007-05-15,resurrection,PD,absent from the provider snapshot of 2007-04-16 but back in the crowd snapshots by 2007-05-15 with no record behind the return; the file wins
2007-05-15,resurrection,TSG,absent from the provider snapshot of 2007-04-16 but back in the crowd snapshots by 2007-05-15 with no record behind the return; the file wins
2007-05-15,resurrection,UVN,absent from the provider snapshot of 2007-04-16 but back in the crowd snapshots by 2007-05-15 with no record behind the return; the file wins
2007-07-02,stale_list,ADCT,"record dates this removal to 2007-07-02, but the list still disagreed at 2008-01-09; trusting the record"
2007-07-02,stale_list,DFS,"record dates this addition to 2007-07-02, but the list still disagreed at 2008-01-09; trusting the record"
2007-08-24,stale_list,KSE,"record dates this removal to 2007-08-24, but the list still disagreed at 2008-01-09; trusting the record"
2007-08-24,stale_list,LUK,"record dates this addition to 2007-08-24, but the list still disagreed at 2008-01-09; trusting the record"
2007-09-26,stale_list,FDC,"record dates this removal to 2007-09-26, but the list still disagreed at 2008-01-09; trusting the record"
2007-09-26,stale_list,ICE,"record dates this addition to 2007-09-26, but the list still disagreed at 2008-01-09; trusting the record"
2007-09-27,stale_list,MXIM,"record dates this removal to 2007-09-27, but the list still disagreed at 2008-01-09; trusting the record"
2007-09-27,stale_list,TSO,"record dates this addition to 2007-09-27, but the list still disagreed at 2008-01-09; trusting the record"
2007-10-01,stale_list,NCR,"record dates this removal to 2007-10-01, but the list still disagreed at 2008-01-09; trusting the record"
2007-10-01,stale_list,TDC,"record dates this addition to 2007-10-01, but the list still disagreed at 2008-01-09; trusting the record"
2007-10-02,stale_list,EXPE,"record dates this addition to 2007-10-02, but the list still disagreed at 2008-01-09; trusting the record"
2007-10-02,stale_list,SLR,"record dates this removal to 2007-10-02, but the list still disagreed at 2008-01-09; trusting the record"
2007-10-26,stale_list,AV,"record dates this removal to 2007-10-26, but the list still disagreed at 2008-01-09; trusting the record"
2007-10-26,stale_list,JEC,"record dates this addition to 2007-10-26, but the list still disagreed at 2008-01-09; trusting the record"
2007-12-13,stale_list,DJ,"record dates this removal to 2007-12-13, but the list still disagreed at 2008-01-09; trusting the record"
2007-12-13,stale_list,GME,"record dates this addition to 2007-12-13, but the list still disagreed at 2008-01-09; trusting the record"
2007-12-20,stale_list,RRC,"record dates this addition to 2007-12-20, but the list still disagreed at 2008-01-09; trusting the record"
