ticker,company,start,end,start_confidence,end_confidence,cik,venue,gics_sector,gics_sub_industry,sp_date_added
A,Agilent Technologies,2000-12-29,,left_censored,,0001090872,NYSE,Information Technology,Health Care Equipment & Services,2000-06-05
AA,Alcoa Inc,2000-12-29,2016-11-01,left_censored,exact,0000004281,NYSE,Materials,Aluminum,1964-03-31
AAL,American Airlines Group,2015-03-23,2024-09-23,exact,exact,0000006201,NASDAQ,Industrials,Airlines,2015-03-23
AAP,Advance Auto Parts,2015-07-08,2023-08-25,exact,exact,0001158449,NYSE,Consumer Discretionary,Automotive Retail,2015-07-09
AAPL,Apple Computer,2000-12-29,,left_censored,,0000320193,NASDAQ,Information Technology,Computer Hardware,1982-11-30
ABBV,AbbVie,2013-01-02,,exact,,0001551152,NYSE,Health Care,Pharmaceuticals,2012-12-31
ABC,AmerisourceBergen Corp.,2001-12-31,2023-09-08,snapshot,unreconciled,0001140859,NYSE,Health Care,Health Care Distribution & Services,2001-08-30
ABI,Applera Corp-Applied Biosystems Group,2000-12-29,2009-03-18,left_censored,snapshot,,NYSE,Health Care,,
ABK,Ambac Financial Group,2000-12-29,2008-06-10,left_censored,exact,,,Financials,,
ABMD,ABIOMED Inc,2018-05-31,2022-12-22,exact,exact,0000815094,NASDAQ,Health Care,Health Care Equipment,2018-05-31
ABNB,Airbnb,2023-09-18,,exact,,0001559720,NASDAQ,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18
ABS,Albertson's,2000-12-29,2006-06-01,left_censored,snapshot,,,Consumer Staples,,
ABT,Abbott Labs,2000-12-29,,left_censored,,0000001800,NYSE,Health Care,Health Care Equipment & Services,1964-03-31
ABX,Barrick Gold Corp.,2000-12-29,2002-12-31,left_censored,snapshot,,,Materials,,
ACAS,American Capital Strategies Ltd,2008-02-10,2009-03-03,snapshot,exact,,NASDAQ,,,
ACE,ACE Limited,2002-12-31,2008-08-08,snapshot,snapshot,,,Financials,,
ACE,ACE Limited,2010-07-28,2016-01-19,snapshot,exact,0000896159,NYSE,Financials,Property & Casualty Insurance,2010-07-15
ACGL,Arch Capital Group,2022-11-01,,exact,,0000947484,NASDAQ,Financials,Reinsurance,2022-11-01
ACN,Accenture PLC,2011-07-05,,exact,,0001467373,NYSE,Information Technology,IT Consulting & Services,2011-07-06
ACS,Affiliated Computer,2004-04-26,2010-05-06,snapshot,snapshot,,NYSE,Information Technology,,
ACT,Actavis Inc,2013-01-25,2015-06-29,unreconciled,unreconciled,0000884629,NYSE,Health Care,Pharmaceuticals,2013-01-24
ACV,Alberto-Culver,2000-12-29,2006-11-30,left_censored,snapshot,,,Consumer Staples,,
ADBE,Adobe Systems,2000-12-29,,left_censored,,0000796343,NASDAQ,Information Technology,Application Software,1997-05-05
ADCT,ADC Telecommunications,2000-12-29,2007-07-02,left_censored,exact,,,Information Technology,,
ADI,Analog Devices,2000-12-29,,left_censored,,0000006281,NASDAQ,Information Technology,Semiconductors,1999-10-12
ADM,Archer-Daniels-Midland,2000-12-29,,left_censored,,0000007084,NYSE,Consumer Staples,Agricultural Products,1981-07-29
ADP,Automatic Data Processing Inc.,2000-12-29,,left_censored,,0000008670,NASDAQ,Industrials,Internet Software & Services,1981-03-31
ADPT,"Adaptec, Inc.(old)",2000-12-29,2001-12-31,left_censored,snapshot,,,Information Technology,,
ADS,Alliance Data Systems,2013-12-23,2020-06-22,exact,exact,0001101215,NYSE,Information Technology,Data Processing & Outsourced Services,2013-12-23
ADSK,"Autodesk, Inc.",2000-12-29,,left_censored,,0000769397,NASDAQ,Information Technology,Application Software,1989-12-01
ADT,ADT Corp,2012-10-01,2016-05-03,exact,exact,0001546640,NYSE,Industrials,Diversified Commercial Services,2012-10-01
AEE,Ameren Corporation,2000-12-29,,left_censored,,0001002910,NYSE,Utilities,Multi-Utilities & Unregulated Power,1991-09-19
AEP,American Electric Power,2000-12-29,,left_censored,,0000004904,NYSE,Utilities,Electric Utilities,1957-03-04
AES,AES Corp.,2000-12-29,,left_censored,,0000874761,NYSE,Utilities,Electric Utilities,1998-10-02
AET,Aetna Inc. (New),2000-12-29,2018-12-03,left_censored,exact,0001122304,NYSE,Health Care,Managed Health Care,1976-06-30
AFL,AFLAC Corporation,2000-12-29,,left_censored,,0000004977,NYSE,Financials,Life & Health Insurance,1999-05-28
AGC,American General,2000-12-29,2001-12-31,left_censored,snapshot,,,Financials,,
AGN,"Allergan, Inc.",2000-12-29,2015-03-23,left_censored,exact,0000850693,NYSE,Health Care,Pharmaceuticals,1992-02-07
AGN,Allergan plc,2015-06-29,2020-05-12,unreconciled,exact,0000884629,NYSE,Health Care,Pharmaceuticals,1999-04-12
AHC,Amerada Hess,2000-12-29,2006-06-01,left_censored,snapshot,,,Energy,,
AHP,American Home Products,2000-12-29,2002-12-31,left_censored,snapshot,,,Health Care,,
AIG,American Int'l. Group,2000-12-29,,left_censored,,0000005272,NYSE,Financials,Property & Casualty Insurance,1980-03-31
AIV,Apartment Investment & Mgmt'A',2003-06-06,2020-12-21,snapshot,exact,0000922864,NYSE,Financials,REITs,2003-03-14
AIZ,Assurant Inc,2007-04-16,,snapshot,,0001267238,NYSE,Financials,Multi-line Insurance,2007-04-10
AJG,Arthur J. Gallagher & Co.,2016-05-31,,exact,,0000354190,NYSE,Financials,Insurance Brokers,2016-05-31
AKAM,Akamai Technologies Inc,2008-02-10,,snapshot,,0001086222,NASDAQ,Information Technology,Internet Software & Services,2007-07-12
AKS,AK Steel Holding Corp.,2008-07-01,2011-12-16,exact,exact,,NYSE,,,
AL,Alcan Inc.,2000-12-29,2002-12-31,left_censored,snapshot,,,Materials,,
ALB,Albemarle Corp,2016-07-01,,exact,,0000915913,NYSE,Materials,Specialty Chemicals,2016-07-01
ALGN,Align Technology,2017-06-19,,exact,,0001097149,NASDAQ,Health Care,Health Care Supplies,2017-06-19
ALK,Alaska Air Group Inc,2016-05-13,2023-12-18,exact,exact,0000766421,NYSE,Industrials,Airlines,2016-05-13
ALL,Allstate Corp.,2000-12-29,,left_censored,,0000899051,NYSE,Financials,Property & Casualty Insurance,1995-07-13
ALLE,Allegion,2013-12-01,,unreconciled,,0001579241,NYSE,Consumer Discretionary,Specialty Stores,2013-12-02
ALTR,Altera Corp.,2000-12-29,2015-12-29,left_censored,exact,0000768251,NASDAQ,Information Technology,Semiconductors,
ALXN,Alexion Pharmaceuticals,2012-05-21,2021-07-21,exact,exact,0000899866,NASDAQ,Health Care,Biotechnology,2012-05-25
AM,American Greetings Class A,2000-12-29,2004-05-28,left_censored,snapshot,,,Consumer Discretionary,,
AMAT,Applied Materials,2000-12-29,,left_censored,,0000006951,NASDAQ,Information Technology,Semiconductor Equipment,1995-03-16
AMCC,Applied Micro Circuits,2000-12-29,2006-06-01,left_censored,snapshot,,,Information Technology,,
AMCR,Amcor plc,2019-06-11,,exact,,0001748790,NYSE,Materials,Paper Packaging,2019-06-07
