Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	     123.30
ABT            	Abbott Labs	US                	35        	Health Care	      40.00
ACE            	ACE Limited	US                	40        	Financials	      29.34
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       2.09
ADBE           	Adobe Systems	US                	45        	Information Technology	      24.80
AMD            	Advanced Micro Devices	US                	45        	Information Technology	       6.46
AES            	AES Corp.	US                	55        	Utilities	       3.02
AET            	Aetna Inc. (New)	US                	35        	Health Care	      41.12
AFL            	AFLAC Corporation	US                	40        	Financials	      30.12
A              	Agilent Technologies	US                	45        	Information Technology	      17.96
APD            	Air Products & Chemicals	US                	15        	Materials	      42.75
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      50.40
ABS            	Albertson's	US                	30        	Consumer Staples	      22.26
AA             	Alcoa Inc	US                	15        	Materials	      22.78
AYE            	Allegheny Energy	US                	55        	Utilities	       7.56
ATI            	Allegheny Technologies Inc	US                	15        	Materials	       6.23
AGN            	Allergan, Inc.	US                	35        	Health Care	      57.62
AW             	Allied Waste Industries	US                	20        	Industrials	      10.00
ALL            	Allstate Corp.	US                	40        	Financials	      36.99
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      51.00
ALTR           	Altera Corp.	US                	45        	Information Technology	      12.33
ABK            	Ambac Financial Group	US                	40        	Financials	      56.24
AHC            	Amerada Hess	US                	10        	Energy	      55.05
AEE            	Ameren Corporation	US                	55        	Utilities	      41.57
AEP            	American Electric Power	US                	55        	Utilities	      27.33
AXP            	American Express	US                	40        	Financials	      35.35
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      15.80
AIG            	American Int'l. Group	US                	40        	Financials	      57.85
APCC           	American Power Conversion	US                	20        	Industrials	      15.15
ASD            	American Standard	US                	20        	Industrials	      71.14
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      54.31
AMGN           	Amgen	US                	35        	Health Care	      48.34
AMR            	AMR Corp.	US                	20        	Industrials	       6.60
ASO            	AmSouth Bancorporation	US                	40        	Financials	      19.20
APC            	Anadarko Petroleum	US                	10        	Energy	      47.90
ADI            	Analog Devices	US                	45        	Information Technology	      23.87
ANDW           	Andrew Corp.	US                	45        	Information Technology	      10.28
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      48.40
ATH            	Anthem, Inc.	US                	35        	Health Care	      62.90
AOL            	AOL Time Warner Inc.	US                	25        	Consumer Discretionary	      13.10
AOC            	Aon Corp.	US                	40        	Financials	      18.89
APA            	Apache Corp.	US                	10        	Energy	      56.99
APOL           	Apollo Group	US                	20        	Industrials	      44.00
AAPL           	Apple Computer	US                	45        	Information Technology	      14.33
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      17.54
AMAT           	Applied Materials	US                	45        	Information Technology	      13.03
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       3.69
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      12.40
ASH            	Ashland Inc.	US                	10        	Energy	      28.53
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      26.11
AWE            	AT&T Wireless Services	US                	50        	Telecommunications Services	       5.65
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      14.30
ADP            	Automatic Data Processing Inc.	US                	20        	Industrials	      39.25
