date,old_ticker,new_ticker,cik,company
2014-12-24,WLP,ANTM,0001156039,Anthem Inc.
2015-02-07,WAG,WBA,0000104207,Walgreens Boots Alliance
2015-03-06,NU,ES,0000072741,Eversource Energy
2015-06-29,ACT,AGN,0000884629,Allergan plc
2015-07-06,KRFT,KHC,0001545158,Kraft Heinz Co
2015-07-15,GCI,TGNA,0000039899,Tegna
2015-07-15,ZMH,ZBH,0001136869,Zimmer Biomet Holdings
2015-07-30,MWV,WRK,0001159297,Westrock Co
2016-05-12,MHFI,SPGI,0000064040,"S&P Global, Inc."
2016-11-01,AA,ARNC,0000004281,Arconic Inc
2017-08-06,TSO,ANDV,0000050104,Andeavor
2017-10-31,COH,TPR,0001116132,"Tapestry, Inc."
2017-11-15,Q,IQV,0001478242,IQVIA Holdings Inc.
2017-12-15,DLPH,APTV,0001521332,Aptiv Plc
2018-02-28,PCLN,BKNG,0001075531,Booking Holdings Inc
2018-02-28,HCN,WELL,0000766704,Welltower Inc.
2018-04-03,CBG,CBRE,0001138118,CBRE Group
2018-05-31,LUK,JEF,0000096223,Jefferies Financial Group
2019-01-14,KORS,CPRI,0001530721,Capri Holdings
2019-06-03,DWDP,DD,0001666700,DuPont de Nemours Inc
2019-07-09,HRS,LHX,0000202058,L3Harris Technologies
2019-08-16,TMK,GL,0000320335,Globe Life Inc.
2019-10-25,BHGE,BKR,0001701605,Baker Hughes Co
2019-11-09,SYMC,NLOK,0000849399,NortonLifeLock
2019-11-09,HCP,PEAK,0000765880,Healthpeak Properties
2019-12-08,CBS,VIAC,0000813828,ViacomCBS
2019-12-25,JEC,J,0000052988,Jacobs Engineering Group
2019-12-25,BBT,TFC,0000092230,Truist Financial
2020-04-01,ARNC,HWM,0000004281,Howmet Aerospace
2020-04-19,UTX,RTX,0000101829,Raytheon Technologies
2020-09-27,CTL,LUMN,0000018926,Lumen Technologies
2021-08-04,LB,BBWI,0000701985,"Bath & Body Works, Inc."
2021-10-06,COG,CTRA,0000858470,Coterra
2022-01-10,WLTW,WTW,0001140536,Willis Towers Watson
2022-02-22,VIAC,PARA,0000813828,Paramount Global
2022-04-11,DISCA,WBD,0001437107,Warner Bros. Discovery
2022-06-08,BLL,BALL,0000009389,Ball Corporation
2022-06-22,FB,META,0001326801,Meta Platforms
2022-07-09,ANTM,ELV,0001156039,Elevance Health
2023-05-17,PKI,RVTY,0000031791,Revvity
2023-06-19,FISV,FI,0000798354,Fiserv
2023-07-31,RE,EG,0001095073,Everest Re
2023-09-08,ABC,COR,0001140859,Cencora
2024-02-01,CDAY,DAY,0001725057,Dayforce
2024-03-04,PEAK,DOC,0000765880,Healthpeak
2024-03-25,FLT,CPAY,0001175454,Corpay
2025-11-20,FI,FISV,0000798354,Fiserv
2026-01-26,MMC,MRSH,0000062709,Marsh McLennan
2026-05-22,BK,BNY,0001390777,BNY Mellon
2026-07-09,SATS,ECHO,0001415404,EchoStar
2026-09-04,EQR,VMRK,0000906107,Vivmark Residential
